date,energy_kwh,Cost_INR,Renewable_Usage_kWh
01-10-2025,12.4,142,1.3
02-10-2025,11.8,136,1.1
03-10-2025,13.2,149,1.5
04-10-2025,14.5,162,1.7
05-10-2025,15.1,168,1.8
06-10-2025,12.9,144,1.4
07-10-2025,11.5,131,1
08-10-2025,10.9,125,0.9
09-10-2025,13.8,155,1.6
10-10-2025,12.2,138,1.3
11-10-2025,14.7,165,1.8
12-10-2025,15.3,171,1.9
13-10-2025,13.6,151,1.5
14-10-2025,12.1,137,1.2
15-10-2025,11.4,130,1
16-10-2025,10.8,124,0.8
17-10-2025,13.9,156,1.7
18-10-2025,14.2,159,1.8
19-10-2025,15.7,175,1.9
20-10-2025,13.4,149,1.5
21-10-2025,11.9,134,1.1
22-10-2025,10.7,122,0.9
23-10-2025,12.8,140,1.3
24-10-2025,13.5,148,1.4
25-10-2025,14.9,166,1.8
26-10-2025,15.5,172,2
27-10-2025,12.6,141,1.2
28-10-2025,11.3,128,1
29-10-2025,13.1,146,1.5
30-10-2025,14.4,160,1.6
