date,energy_kwh,Cost_INR,Renewable_Usage_kWh
01-09-2025,11.5,128,1.0
02-09-2025,12.1,136,1.2
03-09-2025,13.3,150,1.5
04-09-2025,14.6,165,1.8
05-09-2025,12.8,142,1.3
06-09-2025,11.7,129,1.0
07-09-2025,13.0,147,1.4
08-09-2025,15.1,171,1.9
09-09-2025,14.4,160,1.7
10-09-2025,12.3,138,1.2
11-09-2025,13.5,152,1.5
12-09-2025,14.0,157,1.6
13-09-2025,15.2,174,1.9
14-09-2025,11.9,132,1.1
15-09-2025,10.8,120,0.9
16-09-2025,12.6,140,1.3
17-09-2025,14.3,162,1.7
18-09-2025,13.8,155,1.6
19-09-2025,15.4,176,2.0
20-09-2025,12.0,135,1.2
21-09-2025,11.2,126,1.0
22-09-2025,13.6,154,1.5
23-09-2025,14.5,165,1.8
24-09-2025,15.0,170,1.9
25-09-2025,12.9,144,1.3
26-09-2025,11.6,130,1.0
27-09-2025,13.1,148,1.4
28-09-2025,14.7,166,1.8
29-09-2025,15.3,173,1.9
30-09-2025,12.4,139,1.2
